Unit Name	Price	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Lignite	5	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Lignite	7	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Lignite	9	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Lignite	11	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Lignite	13	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Lignite	15	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
Coal	20	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	23	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	26	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	29	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	32	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	35	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	38	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
Coal	40	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250
CCGT	115	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	125	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	135	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	130	0	0	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	140	0	0	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	150	0	0	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
CCGT	80	300	300	300	300	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCGT	90	300	300	300	300	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCGT	100	300	300	300	300	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
